Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,Special Concern,26/11/10,Salmo salar,Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, New Brunswick, Nova Scotia",Fishes (marine),Addition,Pending
Atlantic Salmon,Inner Bay of Fundy population,Endangered,26/11/10,Salmo salar,Atlantic Salmon,Inner Bay of Fundy population,Endangered,Schedule 1,05/06/03,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),,
Atlantic Salmon,Inner St. Lawrence population,Special Concern,26/11/10,Salmo salar,Atlantic Salmon,Inner St. Lawrence population,No Status,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Labrador population,Not at Risk,26/11/10,Salmo salar,,,No Status,No schedule,,"Atlantic Ocean, Quebec, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Lake Ontario population,Extinct,26/11/10,Salmo salar,Atlantic Salmon,Lake Ontario population,No Status,No schedule,,"Atlantic Ocean, Ontario",Fishes (marine),,
Atlantic Salmon,Northeast Newfoundland population,Not at Risk,26/11/10,Salmo salar,,,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Northwest Newfoundland population,Not at Risk,26/11/10,Salmo salar,,,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Nova Scotia Southern Upland population,Endangered,26/11/10,Salmo salar,Atlantic Salmon,Nova Scotia Southern Upland population,No Status,No schedule,,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending
Atlantic Salmon,Nunavik population,Data Deficient,26/11/10,Salmo salar,Atlantic Salmon,Nunavik population,No Status,No schedule,,"Atlantic Ocean, Quebec, Newfoundland and Labrador",Fishes (marine),,
Atlantic Salmon,Outer Bay of Fundy population,Endangered,26/11/10,Salmo salar,Atlantic Salmon,Outer Bay of Fundy population,No Status,No schedule,,"Atlantic Ocean, New Brunswick",Fishes (marine),Addition,Pending
Atlantic Salmon,Quebec Eastern North Shore population,Special Concern,26/11/10,Salmo salar,Atlantic Salmon,Quebec Eastern North Shore population,No Status,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Quebec Western North Shore population,Special Concern,26/11/10,Salmo salar,Atlantic Salmon,Quebec Western North Shore population,No Status,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,South Newfoundland population,Threatened,26/11/10,Salmo salar,Atlantic Salmon,South Newfoundland population,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending
Atlantic Salmon,Southwest Newfoundland population,Not at Risk,26/11/10,Salmo salar,,,No Status,No schedule,,"Atlantic Ocean, Quebec, Newfoundland and Labrador",Fishes (marine),,
Atlantic Sturgeon,Maritimes populations,Threatened,06/05/11,Acipenser oxyrinchus,Atlantic Sturgeon,Maritimes populations,No Status,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
Atlantic Sturgeon,St. Lawrence populations,Threatened,06/05/11,Acipenser oxyrinchus,Atlantic Sturgeon,St. Lawrence populations,No Status,No schedule,,"Atlantic Ocean, Quebec",Fishes (freshwater),Addition,Pending
Atlantic Walrus,,Non-active,28/04/17,Odobenus rosmarus  rosmarus,Atlantic Walrus,,No Status,No schedule,05/06/03,"Prince Edward Island, Nunavut, Arctic Ocean, Manitoba, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,
Atlantic Walrus,Central / Low Arctic population,Special Concern,28/04/17,Odobenus rosmarus  rosmarus,Atlantic Walrus,Central / Low Arctic population,No Status,No schedule,05/06/03,"Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (marine),Addition,Pending
