Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Lake Winnipeg Physa,,Data Deficient,25/11/12,Physa  sp.,Lake Winnipeg Physa,,No Status,No schedule,,Manitoba,Molluscs,,Not to list
Lakeside Daisy,,Special Concern,05/05/21,Tetraneuris herbacea,Lakeside Daisy,,Threatened,Schedule 1,12/01/05,Ontario,Vascular Plants,Status change,Pending
Large Whorled Pogonia,,Endangered,25/11/11,Isotria verticillata,Large Whorled Pogonia,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Large-flowered Brickellia,,Not at Risk,01/04/96,Brickellia grandiflora,,,No Status,No schedule,,"British Columbia, Alberta",Vascular Plants,,
Large-headed Woolly Yarrow,,Special Concern,27/04/18,Achillea millefolium  var. megacephala,Large-headed Woolly Yarrow,,Special Concern,Schedule 1,05/06/03,Saskatchewan,Vascular Plants,,Add
Lark Bunting,,Threatened,28/04/17,Calamospiza melanocorys,Lark Bunting,,Threatened,Schedule 1,22/05/19,"Alberta, Saskatchewan, Manitoba",Birds,,Add
Laura's Clubtail,,Endangered,25/04/10,Stylurus laurae,Laura's Clubtail,,No Status,No schedule,,Ontario,Arthropods,,Not to list
Leach‰Ûªs Storm-Petrel,Atlantic population,Threatened,04/11/20,Oceanodroma leucorhoa,Leach‰Ûªs Storm-Petrel,Atlantic population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Addition,Pending
Least Bittern,,Threatened,26/04/09,Ixobrychus exilis,Least Bittern,,Threatened,Schedule 1,05/06/03,"Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Least Darter,,Not at Risk,01/04/89,Etheostoma microperca,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Leatherback Sea Turtle,,Non-active,04/05/12,Dermochelys coriacea,Leatherback Sea Turtle,,No Status,No schedule,05/06/03,"Atlantic Ocean, Pacific Ocean",Reptiles,,Struck
Leatherback Sea Turtle,Atlantic population,Endangered,04/05/12,Dermochelys coriacea,Leatherback Sea Turtle,Atlantic population,Endangered,Schedule 1,05/06/03,Atlantic Ocean,Reptiles,,
Leatherback Sea Turtle,Pacific population,Endangered,04/05/12,Dermochelys coriacea,Leatherback Sea Turtle,Pacific population,Endangered,Schedule 1,05/06/03,Pacific Ocean,Reptiles,,
Leiberg's Fleabane,,Data Deficient,27/11/16,Erigeron leibergii,Leiberg's Fleabane,,No Status,No schedule,,British Columbia,Vascular Plants,,
Lemmon's Holly Fern,,Threatened,01/05/03,Polystichum lemmonii,Lemmon's Holly Fern,,Threatened,Schedule 1,12/01/05,British Columbia,Vascular Plants,,Add
Leopard Dace,,Not at Risk,01/04/90,Rhinichthys falcatus,,,No Status,No schedule,,British Columbia,Fishes (freshwater),,
Lesser Yellowlegs,,Threatened,04/11/20,Tringa flavipes,Lesser Yellowlegs,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Addition,Pending
Lewis's Woodpecker,,Threatened,25/04/10,Melanerpes lewis,Lewis's Woodpecker,,Threatened,Schedule 1,05/06/03,British Columbia,Birds,,Uplist
Lilliput,,Endangered,03/05/13,Toxolasma parvum,Lilliput,,Endangered,Schedule 1,08/08/19,Ontario,Molluscs,,Add
Limber Pine,,Endangered,28/11/14,Pinus flexilis,Limber Pine,,No Status,No schedule,,"British Columbia, Alberta",Vascular Plants,Addition,Pending
Lindley's False Silverpuffs,,Endangered,25/04/08,Uropappus lindleyi,Lindley's False Silverpuffs,,Endangered,Schedule 1,23/02/10,British Columbia,Vascular Plants,,Add
Little Barley,,Data Deficient,01/04/93,Hordeum pusillum,Little Barley,,No Status,No schedule,,Alberta,Vascular Plants,,
Little Brown Myotis,,Endangered,01/11/13,Myotis lucifugus,Little Brown Myotis,,Endangered,Schedule 1,26/11/14,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (terrestrial),,Add
Little Quarry Lake Benthic Threespine Stickleback,,Threatened,26/11/15,Gasterosteus aculeatus,Little Quarry Lake Benthic Threespine Stickleback,,No Status,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Little Quarry Lake Limnetic Threespine Stickleback,,Threatened,26/11/15,Gasterosteus aculeatus,Little Quarry Lake Limnetic Threespine Stickleback,,No Status,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Loggerhead Sea Turtle,,Endangered,25/04/10,Caretta caretta,Loggerhead Sea Turtle,,Endangered,Schedule 1,13/04/17,Atlantic Ocean,Reptiles,,Add
Loggerhead Shrike,,Non-active,01/04/91,Lanius ludovicianus,Loggerhead Shrike,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Loggerhead Shrike Eastern subspecies,,Endangered,02/05/14,Lanius ludovicianus  ssp.,Loggerhead Shrike Eastern subspecies,,No Status,No schedule,05/06/03,"Ontario, Quebec",Birds,,
Loggerhead Shrike Prairie subspecies,,Threatened,02/05/14,Lanius ludovicianus  excubitorides,Loggerhead Shrike excubitorides subspecies,,Threatened,Schedule 1,14/07/05,"Alberta, Saskatchewan, Manitoba",Birds,,Add
Loggerhead Shrike migrans subspecies,,Non-active,02/05/14,Lanius ludovicianus  migrans,Loggerhead Shrike migrans subspecies,,Endangered,Schedule 1,05/06/03,"Manitoba, Ontario, Quebec",Birds,,Add
Long's Braya,,Endangered,06/05/11,Braya longii,Long's Braya,,Endangered,Schedule 1,05/06/03,Newfoundland and Labrador,Vascular Plants,,
Long's Bulrush,,Special Concern,28/04/17,Scirpus longii,Long's Bulrush,,Special Concern,Schedule 1,12/08/21,Nova Scotia,Vascular Plants,,Add
Long-billed Curlew,,Special Concern,06/05/11,Numenius americanus,Long-billed Curlew,,Special Concern,Schedule 1,12/01/05,"British Columbia, Alberta, Saskatchewan",Birds,,Add
Long-finned Pilot Whale,,Not at Risk,01/04/94,Globicephala melas,,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
Long-stalked Whitlow-grass,,Data Deficient,01/04/92,Draba juvenilis,Long-stalked Whitlow-grass,,No Status,No schedule,,Alberta,Vascular Plants,,
Long-toed Salamander,,Not at Risk,29/04/06,Ambystoma macrodactylum,,,No Status,No schedule,,"British Columbia, Alberta",Amphibians,,
Longfin Smelt,Pygmy populations,Data Deficient,01/11/04,Spirinchus thaleichthys,Longfin Smelt,Pygmy populations,No Status,No schedule,,British Columbia,Fishes (freshwater),,
Longjaw Cisco,,Non-active,01/05/02,Coregonus alpenae,Longjaw Cisco,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Longnose Skate,,Not at Risk,22/04/07,Raja rhina,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Longspine Thornyhead,,Special Concern,22/04/07,Sebastolobus altivelis,Longspine Thornyhead,,Special Concern,Schedule 1,05/03/09,Pacific Ocean,Fishes (marine),,Add
Louisiana Waterthrush,,Threatened,26/11/15,Parkesia motacilla,Louisiana Waterthrush,,Threatened,Schedule 1,13/12/07,"Ontario, Quebec",Birds,,Uplist
Lumpfish,,Threatened,01/11/17,Cyclopterus lumpus,Lumpfish,,No Status,No schedule,,"Prince Edward Island, Nunavut, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),Addition,Pending
Lyall's Mariposa Lily,,Special Concern,06/05/11,Calochortus lyallii,Lyall's Mariposa Lily,,Special Concern,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Downlist
Mackenzie Hairgrass,,Special Concern,27/04/18,Deschampsia mackenzieana,Mackenzie Hairgrass,,Special Concern,Schedule 1,05/06/03,"Northwest Territories, Saskatchewan",Vascular Plants,,Add
Macoun's Meadowfoam,,Threatened,01/11/04,Limnanthes macounii,Macoun's Meadowfoam,,Threatened,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Macoun's Shining Moss,,Extinct,01/11/02,Neomacounia nitida,Macoun's Shining Moss,,No Status,No schedule,,Ontario,Mosses,,
Macropis Cuckoo Bee,,Endangered,06/05/11,Epeoloides pilosulus,Macropis Cuckoo Bee,,Endangered,Schedule 1,30/05/18,Nova Scotia,Arthropods,,Add
Magdalen Islands Grasshopper,,Special Concern,27/11/16,Melanoplus madeleineae,Magdalen Islands Grasshopper,,Special Concern,Schedule 1,12/08/21,Quebec,Arthropods,,Add
Magnum Mantleslug,,Special Concern,04/05/12,Magnipelta mycophaga,Magnum Mantleslug,,Special Concern,Schedule 1,03/02/17,British Columbia,Molluscs,,Add
Maleberry,,Endangered,04/11/20,Lyonia ligustrina,Maleberry,,No Status,No schedule,,Nova Scotia,Vascular Plants,Addition,Pending
Manitoba Oakworm Moth,,Special Concern,29/11/19,Anisota manitobensis,Manitoba Oakworm Moth,,No Status,No schedule,,Manitoba,Arthropods,Addition,Pending
Mapleleaf,Great Lakes - Upper St. Lawrence population,Special Concern,27/11/16,Quadrula quadrula,Mapleleaf,Great Lakes - Upper St. Lawrence population,Special Concern,Schedule 1,08/03/13,Ontario,Molluscs,,Downlist
Mapleleaf,Saskatchewan ‰ÛÒ Nelson Rivers population,Threatened,27/11/16,Quadrula quadrula,Mapleleaf,Saskatchewan ‰ÛÒ Nelson Rivers population,Threatened,Schedule 1,08/03/13,Manitoba,Molluscs,,Downlist
Marbled Murrelet,,Threatened,04/05/12,Brachyramphus marmoratus,Marbled Murrelet,,Threatened,Schedule 1,05/06/03,British Columbia,Birds,,
Margined Madtom,,Data Deficient,01/05/02,Noturus insignis,Margined Madtom,,Threatened,,,"Ontario, Quebec",Fishes (freshwater),,
Margined Streamside Moss,,Endangered,04/05/12,Scouleria marginata,Margined Streamside Moss,,Endangered,Schedule 1,12/01/05,British Columbia,Mosses,,Add
Maritime Ringlet,,Endangered,26/04/09,Coenonympha nipisiquit,Maritime Ringlet,,Endangered,Schedule 1,05/06/03,"Quebec, New Brunswick",Arthropods,,
Massasauga,,Non-active,25/11/12,Sistrurus catenatus,Massasauga,,No Status,No schedule,12/01/05,Ontario,Reptiles,,Struck
Massasauga,Carolinian population,Endangered,25/11/12,Sistrurus catenatus,Massasauga,Carolinian population,Endangered,Schedule 1,12/01/05,Ontario,Reptiles,,Uplist
Massasauga,Great Lakes / St. Lawrence population,Threatened,25/11/12,Sistrurus catenatus,Massasauga,Great Lakes / St. Lawrence population,Threatened,Schedule 1,12/01/05,Ontario,Reptiles,,Add
McCown's Longspur,,Threatened,29/04/16,Rhynchophanes mccownii,McCown's Longspur,,Threatened,Schedule 1,13/12/07,"Alberta, Saskatchewan",Birds,,Uplist
Merlin,,Not at Risk,01/04/85,Falco columbarius,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Mexican Mosquito-fern,,Threatened,28/11/08,Azolla mexicana,Mexican Mosquito-fern,,Threatened,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Midland Painted Turtle,,Special Concern,27/04/18,Chrysemys picta  marginata,Midland Painted Turtle,,Special Concern,Schedule 1,23/04/21,"Ontario, Quebec",Reptiles,,Add
Eastern Milksnake,,Special Concern,02/05/14,Lampropeltis triangulum,Milksnake,,Special Concern,Schedule 1,12/01/05,"Ontario, Quebec",Reptiles,,Add
Misty Lake Lentic Threespine Stickleback,,Endangered,24/11/06,Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,,Endangered,Schedule 1,23/02/10,British Columbia,Fishes (freshwater),,Add
Misty Lake Lotic Threespine Stickleback,,Endangered,24/11/06,Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,,Endangered,Schedule 1,23/02/10,British Columbia,Fishes (freshwater),,Add
Monarch,,Endangered,27/11/16,Danaus plexippus,Monarch,,Special Concern,Schedule 1,05/06/03,"British Columbia, Prince Edward Island, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Arthropods,Status change,Pending
Mormon Metalmark,Prairie population,Special Concern,02/05/14,Apodemia mormo,Mormon Metalmark,Prairie population,Special Concern,Schedule 1,12/01/05,Saskatchewan,Arthropods,,Downlist
Mormon Metalmark,Southern Mountain population,Endangered,02/05/14,Apodemia mormo,Mormon Metalmark,Southern Mountain population,Endangered,Schedule 1,12/01/05,British Columbia,Arthropods,,Add
Mottled Duskywing,Boreal population,Endangered,25/11/12,Erynnis martialis,Mottled Duskywing,Boreal population,No Status,No schedule,,Manitoba,Arthropods,Addition,Pending
Mottled Duskywing,Great Lakes Plains population,Endangered,25/11/12,Erynnis martialis,Mottled Duskywing,Great Lakes Plains population,No Status,No schedule,,"Ontario, Quebec",Arthropods,Addition,Pending
Mountain Beaver,,Special Concern,04/05/12,Aplodontia rufa,Mountain Beaver,,Special Concern,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
Mountain Crab-eye,,Special Concern,29/04/16,Acroscyphus sphaerophoroides,Mountain Crab-eye,,Special Concern,Schedule 1,25/02/19,British Columbia,Lichens,,Add
Mountain Holly Fern,,Threatened,05/05/05,Polystichum scopulinum,Mountain Holly Fern,,Threatened,Schedule 1,15/08/06,"British Columbia, Quebec, Newfoundland and Labrador",Vascular Plants,,Add
Mountain Plover,,Endangered,01/12/21,Charadrius montanus,Mountain Plover,,Endangered,Schedule 1,05/06/03,"Alberta, Saskatchewan",Birds,,
Mountain Sucker,,Non-active,26/11/10,Catostomus platyrhynchus,,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan",Fishes (freshwater),,
Mountain Sucker,Milk River populations,Threatened,26/11/10,Catostomus platyrhynchus,Mountain Sucker,Milk River populations,Threatened,Schedule 1,13/04/17,"Alberta, Saskatchewan",Fishes (freshwater),,Add
Mountain Sucker,Pacific populations,Special Concern,26/11/10,Catostomus platyrhynchus,Mountain Sucker,Pacific populations,Special Concern,Schedule 1,13/04/17,British Columbia,Fishes (freshwater),,Add
Mountain Sucker,Saskatchewan - Nelson River populations,Not at Risk,26/11/10,Catostomus platyrhynchus,,,No Status,No schedule,,"Alberta, Saskatchewan",Fishes (freshwater),,
Mudpuppy,,Not at Risk,01/05/00,Necturus maculosus,,,No Status,No schedule,,"Manitoba, Ontario, Quebec",Amphibians,,
Muhlenberg's Centaury,,Endangered,25/04/08,Centaurium muehlenbergii,Muhlenberg's Centaury,,Endangered,Schedule 1,23/02/10,British Columbia,Vascular Plants,,Add
Nahanni Aster,,Special Concern,02/05/14,Symphyotrichum nahanniense,Nahanni Aster,,Special Concern,Schedule 1,02/02/18,Northwest Territories,Vascular Plants,,Add
Narrow-leaved Wallflower,,Not at Risk,01/04/93,Erysimum angustatum,,,No Status,No schedule,,Yukon,Vascular Plants,,
Narwhal,,Special Concern,01/11/04,Monodon monoceros,Narwhal,,No Status,No schedule,,Arctic Ocean,Mammals (marine),Addition,Pending
Nebraska Sedge,,Not at Risk,01/04/95,Carex nebrascensis,,,No Status,No schedule,,Alberta,Vascular Plants,,
Nelson's Sharp-tailed Sparrow,,Not at Risk,01/04/98,Ammodramus nelsoni,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
New Jersey Rush,,Special Concern,01/05/04,Juncus caesariensis,New Jersey Rush,,Special Concern,Schedule 1,14/07/05,Nova Scotia,Vascular Plants,,Add
Nine-spotted Lady Beetle,,Endangered,29/04/16,Coccinella novemnotata,Nine-spotted Lady Beetle,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Arthropods,Addition,Pending
Nodding Pogonia,,Endangered,26/11/10,Triphora trianthophoros,Nodding Pogonia,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Non-pollinating Yucca Moth,,Endangered,03/05/13,Tegeticula corruptrix,Non-pollinating Yucca Moth,,Endangered,Schedule 1,13/12/07,Alberta,Arthropods,,Add
Nooksack Dace,,Endangered,01/11/18,Rhinichthys cataractae,Nooksack Dace,,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
North Atlantic Right Whale,,Endangered,01/11/13,Eubalaena glacialis,North Atlantic Right Whale,,Endangered,Schedule 1,12/01/05,Atlantic Ocean,Mammals (marine),,Add
North Pacific Right Whale,,Endangered,01/05/15,Eubalaena japonica,North Pacific Right Whale,,Endangered,Schedule 1,15/08/06,Pacific Ocean,Mammals (marine),,Add
North Pacific Spiny Dogfish,,Special Concern,25/11/11,Squalus suckleyi,North Pacific Spiny Dogfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Northern Abalone,,Endangered,26/04/09,Haliotis kamtschatkana,Northern Abalone,,Endangered,Schedule 1,05/06/03,"British Columbia, Pacific Ocean",Molluscs,,Uplist
Northern Alligator Lizard,,Not at Risk,01/05/02,Elgaria coerulea,,,No Status,No schedule,,British Columbia,Reptiles,,
Northern Barrens Tiger Beetle,,Endangered,27/11/09,Cicindela patruela,Northern Barrens Tiger Beetle,,Endangered,Schedule 1,20/06/12,"Ontario, Quebec",Arthropods,,Add
Northern Bobwhite,,Endangered,03/05/13,Colinus virginianus,Northern Bobwhite,,Endangered,Schedule 1,14/07/05,Ontario,Birds,,Add
Northern Bottlenose Whale,,Non-active,01/04/96,Hyperoodon ampullatus,Northern Bottlenose Whale,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,Special Concern,06/05/11,Hyperoodon ampullatus,Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,No Status,No schedule,,Atlantic Ocean,Mammals (marine),Addition,Pending
Northern Bottlenose Whale,Scotian Shelf population,Endangered,06/05/11,Hyperoodon ampullatus,Northern Bottlenose Whale,Scotian Shelf population,Endangered,Schedule 1,06/04/06,Atlantic Ocean,Mammals (marine),,Add
Northern Brook Lamprey,,Non-active,22/04/07,Ichthyomyzon fossor,Northern Brook Lamprey,,Special Concern,,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,04/11/20,Ichthyomyzon fossor,Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,Schedule 1,05/03/09,"Ontario, Quebec",Fishes (freshwater),,Add
Northern Brook Lamprey,Saskatchewan - Nelson River populations,Endangered,04/11/20,Ichthyomyzon fossor,Northern Brook Lamprey,Saskatchewan - Nelson population,No Status,,,Manitoba,Fishes (freshwater),,Pending
Northern Dusky Salamander,,Non-active,04/05/12,Desmognathus fuscus,,,No Status,No schedule,,"Ontario, Quebec, New Brunswick",Amphibians,,
Northern Dusky Salamander,Carolinian population,Endangered,04/05/12,Desmognathus fuscus,Northern Dusky Salamander,Carolinian population,Endangered,Schedule 1,02/06/17,Ontario,Amphibians,,Add
Northern Dusky Salamander,Quebec / New Brunswick population,Not at Risk,04/05/12,Desmognathus fuscus,,,No Status,No schedule,,"Quebec, New Brunswick",Amphibians,,
Northern Elephant Seal,,Not at Risk,01/04/86,Mirounga angustirostris,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Northern Fur Seal,,Threatened,26/11/10,Callorhinus ursinus,Northern Fur Seal,,No Status,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),Addition,Pending
Northern Goshawk atricapillus subspecies,,Not at Risk,01/04/95,Accipiter gentilis  atricapillus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Northern Goshawk laingi subspecies,,Threatened,03/05/13,Accipiter gentilis  laingi,Northern Goshawk laingi subspecies,,Threatened,Schedule 1,05/06/03,British Columbia,Birds,,
Northern Grey Wolf,,Not at Risk,01/04/99,Canis lupus  occidentalis,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (terrestrial),,
Northern Harrier,,Not at Risk,01/04/93,Circus cyaneus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Northern Hawk Owl,,Not at Risk,01/04/92,Surnia ulula,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick",Birds,,
Northern Leopard Frog,Eastern populations,Not at Risk,26/04/09,Lithobates pipiens,,,No Status,No schedule,,"Prince Edward Island, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Amphibians,,
Northern Leopard Frog,Rocky Mountain population,Endangered,01/12/21,Lithobates pipiens,Northern Leopard Frog,Rocky Mountain population,Endangered,Schedule 1,05/06/03,British Columbia,Amphibians,,
Northern Leopard Frog,Western Boreal/Prairie populations,Special Concern,26/04/09,Lithobates pipiens,Northern Leopard Frog,Western Boreal/Prairie populations,Special Concern,Schedule 1,12/01/05,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Amphibians,,Add
Northern Madtom,,Endangered,04/05/12,Noturus stigmosus,Northern Madtom,,Endangered,Schedule 1,12/01/05,Ontario,Fishes (freshwater),,Add
Northern Map Turtle,,Special Concern,25/11/12,Graptemys geographica,Northern Map Turtle,,Special Concern,Schedule 1,12/01/05,"Ontario, Quebec",Reptiles,,Add
Northern Mock Goldenweed,,Not at Risk,01/04/97,Stenotus borealis,,,No Status,No schedule,,Yukon,Vascular Plants,,
Northern Myotis,,Endangered,01/11/13,Myotis septentrionalis,Northern Myotis,,Endangered,Schedule 1,26/11/14,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (terrestrial),,Add
Northern Riffleshell,,Endangered,25/04/10,Epioblasma rangiana,Northern Riffleshell,,Endangered,Schedule 1,05/06/03,Ontario,Molluscs,,
Northern Right Whale Dolphin,,Not at Risk,01/04/90,Lissodelphis borealis,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Northern Saw-whet Owl brooksi subspecies,,Threatened,01/11/17,Aegolius acadicus  brooksi,Northern Saw-whet Owl brooksi subspecies,,Threatened,Schedule 1,13/12/07,British Columbia,Birds,,Add
Northern Sunfish,,Non-active,29/04/16,Lepomis peltastes,,,No Status,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Special Concern,29/04/16,Lepomis peltastes,Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Special Concern,Schedule 1,08/08/19,"Ontario, Quebec",Fishes (freshwater),,Add
Northern Sunfish,Saskatchewan - Nelson River populations,Not at Risk,29/04/16,Lepomis peltastes,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Northern Watersnake,,Not at Risk,01/05/02,Nerodia sipedon  sipedon,,,No Status,No schedule,,"Ontario, Quebec",Reptiles,,
Northern Wolffish,,Threatened,25/11/12,Anarhichas denticulatus,Northern Wolffish,,Threatened,Schedule 1,05/06/03,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,
Northwestern Cellar Spider,,Not at Risk,02/05/14,Psilochorus hesperus,,,No Status,No schedule,,British Columbia,Arthropods,,
Northwestern Gartersnake,,Not at Risk,01/05/03,Thamnophis ordinoides,,,No Status,No schedule,,British Columbia,Reptiles,,
Northwestern Salamander,,Not at Risk,01/04/99,Ambystoma gracile,,,No Status,No schedule,,British Columbia,Amphibians,,
Nugget Moss,,Endangered,27/11/16,Microbryum vlassovii,Nugget Moss,,Endangered,Schedule 1,05/03/09,British Columbia,Mosses,,Add
Nuttall's Cottontail nuttallii subspecies,,Special Concern,27/11/16,Sylvilagus nuttallii  nuttallii,Nuttall's Cottontail nuttallii subspecies,,Special Concern,Schedule 1,13/12/07,British Columbia,Mammals (terrestrial),,Add
Nuttall's Cottontail pinetis subspecies,,Not at Risk,01/04/94,Sylvilagus nuttallii  pinetis,,,No Status,No schedule,,"Alberta, Saskatchewan",Mammals (terrestrial),,
Nuttall's Sheep Moth,,Endangered,26/11/15,Hemileuca nuttalli,Nuttall's Sheep Moth,,No Status,No schedule,,British Columbia,Arthropods,Addition,Pending
Ogden's Pondweed,,Endangered,22/04/07,Potamogeton ogdenii,Ogden's Pondweed,,Endangered,Schedule 1,05/03/09,Ontario,Vascular Plants,,Add
Okanagan Efferia,,Endangered,25/11/11,Efferia okanagana,Okanagan Efferia,,Endangered,Schedule 1,03/02/17,British Columbia,Arthropods,,Add
Okanogan Stickseed,,Not at Risk,30/11/07,Hackelia ciliata,,,No Status,No schedule,,British Columbia,Vascular Plants,,
Oldgrowth Specklebelly Lichen,,Special Concern,25/04/10,Pseudocyphellaria rainierensis,Oldgrowth Specklebelly Lichen,,Special Concern,Schedule 1,20/06/12,British Columbia,Lichens,,Add
Olive Clubtail,,Endangered,06/05/11,Stylurus olivaceus,Olive Clubtail,,Endangered,Schedule 1,03/02/17,British Columbia,Arthropods,,Add
Olive-sided Flycatcher,,Special Concern,27/04/18,Contopus cooperi,Olive-sided Flycatcher,,Threatened,Schedule 1,23/02/10,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Status change,Pending
Olympia Oyster,,Special Concern,06/05/11,Ostrea lurida,Olympia Oyster,,Special Concern,Schedule 1,05/06/03,"British Columbia, Pacific Ocean",Molluscs,,
Orangespotted Sunfish,,Non-active,25/04/08,Lepomis humilis,Orangespotted Sunfish,,Special Concern,,,Ontario,Fishes (freshwater),,
Ord's Kangaroo Rat,,Endangered,28/04/17,Dipodomys ordii,Ord's Kangaroo Rat,,Endangered,Schedule 1,13/12/07,"Alberta, Saskatchewan",Mammals (terrestrial),,Add
Oregon Branded Skipper,,Endangered,01/11/13,Hesperia colorado  oregonia,Oregon Branded Skipper,,No Status,No schedule,,British Columbia,Arthropods,Addition,Pending
Oregon Forestsnail,,Endangered,03/05/13,Allogona townsendiana,Oregon Forestsnail,,Endangered,Schedule 1,12/01/05,British Columbia,Molluscs,,Add
Oregon Lupine,,Extirpated,28/11/08,Lupinus oreganus,Oregon Lupine,,Extirpated,Schedule 1,04/02/11,British Columbia,Vascular Plants,,Add
Oregon Spotted Frog,,Endangered,06/05/11,Rana pretiosa,Oregon Spotted Frog,,Endangered,Schedule 1,05/06/03,British Columbia,Amphibians,,
Ottoe Skipper,,Endangered,01/05/15,Hesperia ottoe,Ottoe Skipper,,Endangered,Schedule 1,15/08/06,Manitoba,Arthropods,,Add
Pacific Gophersnake,,Extirpated,04/05/12,Pituophis catenifer  catenifer,Pacific Gophersnake,,Extirpated,Schedule 1,12/01/05,British Columbia,Reptiles,,Add
Pacific Pond Turtle,,Extirpated,04/05/12,Actinemys marmorata,Pacific Pond Turtle,,Extirpated,Schedule 1,12/01/05,British Columbia,Reptiles,,Add
Pacific Rhododendron,,Not at Risk,01/04/97,Rhododendron macrophyllum,,,No Status,No schedule,,British Columbia,Vascular Plants,,
