CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Powles Creek,SEL-19-47,SEL,Current,0.35595515880,0.00434590359
Prudhomme,SEL-19-49,SEL,Current,0.77357119060,0.01477785429
Ryan Creek,SEL-19-51,SEL,Current,0.43970765417,0.00339187635
Salter,SEL-19-52,SEL,Current,0.49541888751,0.00623063819
Scoular/Kilpatrick,SEL-19-53,SEL,Current,0.42765895963,0.00631733306
Shawatlan,SEL-19-54,SEL,Current,0.44098933829,0.00654169260
Tankeeah River,SEL-19-60,SEL,Current,0.36606792587,0.00395905834
Tsimtack/Lakes,SEL-19-62,SEL,Current,0.59864192621,0.00914654014
Wale Creek,SEL-19-66,SEL,Current,0.40800495303,0.00463286587
Yeo,SEL-19-70,SEL,Current,0.26479085951,0.00269800610
Johnston,SEL-20-05,SEL,Current,0.42982812528,0.00740867613
Lakelse,SEL-20-07,SEL,Current,1.76694331330,0.06982542046
Atna,SEL-21-01,SEL,Current,1.29199984253,0.03887152438
Bulkley,SEL-21-03,SEL,Current,1.65220096352,0.02817119288
Kitwancool,SEL-21-05,SEL,Current,2.18142407011,0.06727534324
Maxan,SEL-21-06,SEL,Current,1.47136147882,0.03778507611
Morice,SEL-21-07,SEL,Current,3.20930353709,0.21348962698
Stephens,SEL-21-09,SEL,Current,1.00562219848,0.02066021393
Footsore/Hodder,SEL-21-12,SEL,Current,0.35199180047,0.00347334976
Asitika,SEL-22-01,SEL,Current,0.49243448738,0.00825536432
Bear,SEL-22-03,SEL,Current,1.35544880448,0.05023628160
Johanson,SEL-22-05,SEL,Current,0.47964369353,0.00792908236
Kluatantan,SEL-22-06,SEL,Current,0.76860361590,0.01484833352
Motase,SEL-22-08,SEL,Current,0.76472497114,0.01896219701
Spawning,SEL-22-11,SEL,Current,0.35774667246,0.00455658444
Sustut,SEL-22-12,SEL,Current,0.58800794786,0.01008609654
Oweegee,SEL-24-06,SEL,Current,0.45950225392,0.00819978258
Christina,SEL-26-01,SEL,Current,0.85815432418,0.02097543471
Kuthai,SEL-28-01,SEL,Current,0.43520007384,0.00754252873
King Salmon,SEL-28-05,SEL,Current,0.82786951217,0.01246510558
Blanchard,SEL-30-01,SEL,Current,1.39571739022,0.01597283590
Klukshu,SEL-30-02,SEL,Current,0.77480897784,0.01729496822
Neskatahin,SEL-30-03,SEL,Current,0.24323399875,0.00182889051
