SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
SEL,Bloomfield,Current,SEL-19-02,0.41832808899,0.00554559551
SEL,Bonilla,Current,SEL-19-04,0.39669595046,0.00396381149
SEL,Tuwartz,Current,SEL-19-09,0.37220061479,0.00441076426
SEL,Freeda/Brodie,Current,SEL-19-20,0.32253588558,0.00333776022
SEL,Kdelmashan Creek,Current,SEL-19-25,0.52855154233,0.00438338048
SEL,Keecha,Current,SEL-19-26,0.62109004960,0.00807630598
SEL,Kisameet,Current,SEL-19-32,0.49100798225,0.00485108530
SEL,Kooryet,Current,SEL-19-34,0.54904288186,0.00623775481
SEL,Limestone Creek,Current,SEL-19-38,0.41370454791,0.00327859757
SEL,Mikado,Current,SEL-19-43,0.42782479742,0.00325030025
SEL,Namu,Current,SEL-19-45,0.59692018519,0.00901717060
SEL,Powles Creek,Current,SEL-19-47,0.35595515880,0.00434590359
SEL,Prudhomme,Current,SEL-19-49,0.77357119060,0.01477785429
SEL,Ryan Creek,Current,SEL-19-51,0.43970765418,0.00339187635
SEL,Salter,Current,SEL-19-52,0.49541888751,0.00623063819
SEL,Scoular/Kilpatrick,Current,SEL-19-53,0.42765895963,0.00631733306
SEL,Shawatlan,Current,SEL-19-54,0.44098933829,0.00654169260
SEL,Tankeeah River,Current,SEL-19-60,0.36606792587,0.00395905834
SEL,Tsimtack/Lakes,Current,SEL-19-62,0.59864192621,0.00914654014
SEL,Wale Creek,Current,SEL-19-66,0.40800495303,0.00463286587
SEL,Yeo,Current,SEL-19-70,0.26479085951,0.00269800610
SEL,Johnston,Current,SEL-20-05,0.42982812528,0.00740867613
SEL,Lakelse,Current,SEL-20-07,1.76694331330,0.06982542046
SEL,Atna,Current,SEL-21-01,1.29199984253,0.03887152438
SEL,Bulkley,Current,SEL-21-03,1.65220096352,0.02817119288
SEL,Kitwancool,Current,SEL-21-05,2.18142407011,0.06727534324
SEL,Maxan,Current,SEL-21-06,1.47136147882,0.03778507611
SEL,Morice,Current,SEL-21-07,3.20930353709,0.21348962698
SEL,Stephens,Current,SEL-21-09,1.00562219848,0.02066021393
SEL,Footsore/Hodder,Current,SEL-21-12,0.35199180047,0.00347334976
SEL,Asitika,Current,SEL-22-01,0.49243448738,0.00825536432
SEL,Bear,Current,SEL-22-03,1.35544880448,0.05023628160
SEL,Johanson,Current,SEL-22-05,0.47964369353,0.00792908236
